分组ID,哈希类型,哈希值,文件数量,文件大小(字节),文件大小(可读),文件路径列表
MD5_35,MD5,f85aa58efebc2e3ea2c6b935cb2b5f43,4,832002145,793.46 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\滕州卷烟厂数据治理宣贯培训.pptx
svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\培训材料\领导培训材料\滕州卷烟厂数据治理宣贯培训.pptx
svn\滕烟数据汇聚中心项目\1-立项阶段\滕州卷烟厂数据治理宣贯培训.pptx
svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\领导培训材料\滕州卷烟厂数据治理宣贯培训.pptx"
SHA256_36,SHA256,5e6c92dfea792e42b8f59e319894a339ba23e7687085adb6e7c898cd947b6298,4,832002145,793.46 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\滕州卷烟厂数据治理宣贯培训.pptx
svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\培训材料\领导培训材料\滕州卷烟厂数据治理宣贯培训.pptx
svn\滕烟数据汇聚中心项目\1-立项阶段\滕州卷烟厂数据治理宣贯培训.pptx
svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\领导培训材料\滕州卷烟厂数据治理宣贯培训.pptx"
SHA256_16,SHA256,e0db4244f77582708b91026853afe22ae5c932e02cc63fe868f87f0ee69066e4,3,19249723,18.36 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\培训材料\202501滕烟数据治理培训.pptx
svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\202501滕烟数据治理培训.pptx
svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\数据治理培训\202501滕烟数据治理培训.pptx"
MD5_15,MD5,141d7819f1a63b44a2816a1a6391c2ce,3,19249723,18.36 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\培训材料\202501滕烟数据治理培训.pptx
svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\202501滕烟数据治理培训.pptx
svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\数据治理培训\202501滕烟数据治理培训.pptx"
MD5_3,MD5,5e276d7751b95bd7fb81c3637c78c8ad,2,15743055,15.01 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\立项汇报\滕州数据汇聚中心系统项目立项汇报.pptx
svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\滕州数据汇聚中心系统项目立项汇报.pptx"
SHA256_14,SHA256,62cd60d151a03c1c9c3ab1d547f031e3e25dec8e1a7247b1105092e44d6e7a79,2,17294260,16.49 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\02-需求阶段\卷包需求\月底盘存\材料库存表2024.8.23.xlsx
svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\月底盘存\材料库存表2024.8.23.xlsx"
SHA256_110,SHA256,f6fcfae3300f550560692a5c71be11b83b58612d15481f766c1cb4720c67505d,2,13897208,13.25 KB,"svn\长烟智能制造数据运营项目\05-实施阶段\汇报材料\长烟卷烟厂数据治理课题结题汇报v1.2.pptx
svn\长烟智能制造数据运营项目\课题相关\长烟卷烟厂数据治理课题结题汇报v1.2(1).pptx"
SHA256_58,SHA256,3be70eaa179233d8de21f826c0649acdbc7425e9cab9200bd8241618b9d642e6,2,696786200,664.51 KB,"svn\长烟智能制造数据运营项目\01.项目启动\湖南中烟工业有限责任公司数字化转型规划设计及数智应用试点实施项目-投标文件-技术部分-20230425.docx
svn\长烟智能制造数据运营项目\01.项目启动\湖南中烟工业有限责任公司数字化转型规划设计及数智应用试点实施项目-投标文件-技术部分-202304全.docx"
SHA256_22,SHA256,dcf52d86ab8ef477f43c0651e0cdeac7ade945e414ad974f0d9d61fa4eed02ed,2,157757564,150.45 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\招投标文件\02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx
svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx"
SHA256_4,SHA256,8f3e95e50f951ca4e7c865d09815dd20b27e400c3c27c2fb10227cade718ea7e,2,15743055,15.01 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\立项汇报\滕州数据汇聚中心系统项目立项汇报.pptx
svn\滕烟数据汇聚中心项目\1-立项阶段\立项汇报\滕州数据汇聚中心系统项目立项汇报.pptx"
MD5_1,MD5,63eee1dc6bfeaa2edce8f3c0413368dc,2,11231103,10.71 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\滕州数据汇聚中心系统项目-前期准备.pptx
svn\滕烟数据汇聚中心项目\1-立项阶段\滕州数据汇聚中心系统项目-前期准备.pptx"
SHA256_130,SHA256,8b508ee2b1819875462500ef0b34c8bde2506a18c9db8a561137904af1703948,2,23361536,22.28 KB,"temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fitz\mupdfcpp64.dll
temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fitz\mupdfcpp64.dll"
MD5_13,MD5,8109c53ad87fe2a4cda6b08745dbff4f,2,17294260,16.49 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\02-需求阶段\卷包需求\月底盘存\材料库存表2024.8.23.xlsx
svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\月底盘存\材料库存表2024.8.23.xlsx"
MD5_19,MD5,5a366a387b8715f7f1dc11796323810d,2,15963904,15.22 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\培训材料\领导培训材料\从理性出发谈数智化转型实践与路径（滕烟）.pdf
svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\领导培训材料\从理性出发谈数智化转型实践与路径（滕烟）.pdf"
SHA256_20,SHA256,7c6f6326905f5b1f9c3a2c4236a97a383bf1d97845c4921afd28ba844e7f7421,2,15963904,15.22 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\05-实施阶段\培训材料\领导培训材料\从理性出发谈数智化转型实践与路径（滕烟）.pdf
svn\滕烟数据汇聚中心项目\6-实施阶段\培训材料\领导培训材料\从理性出发谈数智化转型实践与路径（滕烟）.pdf"
SHA256_12,SHA256,8db3c4111f8dd2b7e1bf9982a8043fbdc58d6dd4d9978e82912376fea3cfcbcd,2,53186301,50.72 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\项目合同\滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf
svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf"
SHA256_8,SHA256,7d198643db00468e3a1490d35a8b440630af33b9626560b9173bf96b63851004,2,11109711,10.60 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\02-需求阶段\卷包需求\上报ERP表\上报ERP2024年8月.xlsx
svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\上报ERP表\上报ERP2024年8月.xlsx"
MD5_109,MD5,a440003b20c8b82fb56d101daf88965b,2,13897208,13.25 KB,"svn\长烟智能制造数据运营项目\05-实施阶段\汇报材料\长烟卷烟厂数据治理课题结题汇报v1.2.pptx
svn\长烟智能制造数据运营项目\课题相关\长烟卷烟厂数据治理课题结题汇报v1.2(1).pptx"
MD5_57,MD5,cba76e5eefe1aa7ac1cda020f7e81c30,2,696786200,664.51 KB,"svn\长烟智能制造数据运营项目\01.项目启动\湖南中烟工业有限责任公司数字化转型规划设计及数智应用试点实施项目-投标文件-技术部分-20230425.docx
svn\长烟智能制造数据运营项目\01.项目启动\湖南中烟工业有限责任公司数字化转型规划设计及数智应用试点实施项目-投标文件-技术部分-202304全.docx"
MD5_129,MD5,9ce4f0247b19005b1a8bd600bb7abd84,2,23361536,22.28 KB,"temp\Umi-OCR_Paddle_v2.1.4\UmiOCR-data\site-packages\fitz\mupdfcpp64.dll
temp\Umi-OCR_Rapid_v2.1.4\UmiOCR-data\site-packages\fitz\mupdfcpp64.dll"
MD5_21,MD5,98845fcc21f442d9f17b9f08f89b618f,2,157757564,150.45 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\招投标文件\02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx
svn\滕烟数据汇聚中心项目\1-立项阶段\招投标文件\02_技术文件-滕州卷烟厂数据汇聚中心系统项目_北京远舢.docx"
MD5_11,MD5,2dc11ad99aa365b7ebd364c195f3fc1f,2,53186301,50.72 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\项目合同\滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf
svn\滕烟数据汇聚中心项目\1-立项阶段\项目合同\滕州卷烟厂数据汇聚中心系统项目技术合同-扫描件.pdf"
SHA256_2,SHA256,35a7e50891df7b86f8e3ded35f9d86012d9fd465cf36080dd687fd19dc889e8a,2,11231103,10.71 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\01-项目立项\滕州数据汇聚中心系统项目-前期准备.pptx
svn\滕烟数据汇聚中心项目\1-立项阶段\滕州数据汇聚中心系统项目-前期准备.pptx"
MD5_7,MD5,245711e8e846fc9c6bea14d35cc7065e,2,11109711,10.60 KB,"svn\在建项目\滕州卷烟厂数据汇聚中心系统项目\02-需求阶段\卷包需求\上报ERP表\上报ERP2024年8月.xlsx
svn\滕烟数据汇聚中心项目\2-需求阶段\02-卷包车间\原始需求\上报ERP表\上报ERP2024年8月.xlsx"
